platform,video_id,url,title_caption,hashtags,views,likes,comments,channel_account,download_path,scraped_at
youtube,zNKgSWn5yHM,https://www.youtube.com/watch?v=zNKgSWn5yHM,تحدي ركلة الموت مع احمد - Roblox,"peekaa, gaming, Roblox",189143,9097,760,Peekaa,,2026-09-11T16:51:38.604814+00:00
youtube,_DmmBiYmR9A,https://www.youtube.com/watch?v=_DmmBiYmR9A,Wael Jassar🤍Agmad 5🎵❤️️ وائل جسار❣ملك الإحساس❤️️أجمـ 5 ـد أغاني🎧رومانسية,"لا_تنسى_اللايك_والإشتراك_وتفعيل_زر_🔔_التنبيهات, لايك_اشتراك_بالقناه_ليصلك_👍_كل_جديد, أجمل_الأغاني, أجمد_الأغاني, نوستلجيا, الجيل_الذهبي, تسعينات, تسعيناتي, نوستالجيا, كوكتيل_اغاني, أغاني_جديدة_قديمة, اغاني_حزينة, أغاني_رومانسية, أغاني_حب",28893,93,2,Wael Jassar Fans l وائل جسار,,2026-09-11T16:51:38.604814+00:00
youtube,CTDhaXZ5Grc,https://www.youtube.com/watch?v=CTDhaXZ5Grc,ربلوكس انحبسنا بالمجاري انا واخواني الصغار  !,"roblox, روبلوكس",308010,8236,977,اصحاب مازن,,2026-09-11T16:51:38.604814+00:00
youtube,2yJBJ6oe3hA,https://www.youtube.com/watch?v=2yJBJ6oe3hA,ABDELAZIZ AHOUZAR | عبد العزيز احوزار حسدوني على الهنا,,13568,160,0,nagham gen - Topic,,2026-09-11T16:51:38.604814+00:00
youtube,O5eLTLva51M,https://www.youtube.com/watch?v=O5eLTLva51M,كرمانجي اجمل وردة 🌹,"هيرو, efootball, pesmobile, hero_gaming, HERO, efootball2025, efootball2024, efootball2023, efootballmobile, مصر, السعودية",132937,12421,597,HERO GAMING,,2026-09-11T16:51:38.604814+00:00
youtube,uXQrU_HqhKs,https://www.youtube.com/watch?v=uXQrU_HqhKs,Adlene - Machi Haka ft. Samad - ماشي هاكا ( clip officiel ),,133631,4234,225,ICE PRODUCTION ,,2026-09-11T16:51:38.604814+00:00
youtube,GxU3QpzyeM0,https://www.youtube.com/watch?v=GxU3QpzyeM0,يوم كامل بالمال فقط !!,"صحراوي, sa7rawi, فريفاير",469382,21117,3255,SA7RAWI Gaming,,2026-09-11T16:51:38.604814+00:00
youtube,n6ZaRRzIjSs,https://www.youtube.com/watch?v=n6ZaRRzIjSs,Habib Fatako Love Eternel (clip officiel 2026,,182896,11798,657,Habib Fatako,,2026-09-11T16:51:38.604814+00:00
youtube,u0Tb7an-Qyc,https://www.youtube.com/watch?v=u0Tb7an-Qyc,جراني النسخة الصينية المرعبة جدا !,"سيد, العاب, ألعاب, جراني",61321,5229,459,شبكة العاب العرب | Arab Games Network,,2026-09-11T16:51:38.604814+00:00
youtube,Kd_I5COiYzA,https://www.youtube.com/watch?v=Kd_I5COiYzA,Amine Matlo ft. Hichem TGV 2026 - Nroh M3ak B3id نروح معاك بعيد (Music Remix),"ChebaWarda, Abdou_Gambetta, AmineMatlo, Hichem_Tgv, Soolking, Cheba_Souad, Nroh_M3ak_B3id, Samira_Official, Seknet_Marseille, RaiRemix, Rai_Remix, Remix_Rai, Rai, ChebBilal, Cheb_Khaled, Cheb_Mami, Cheb_Hasni, Kers_Music",188091,1601,70,KERS Music,,2026-09-11T16:51:38.604814+00:00
youtube,it5g2XLLGg8,https://www.youtube.com/watch?v=it5g2XLLGg8,شراء و تجربة اقوى مدرب في اللعبة🔥 وأخيرا الحظ يبتسم 5000 كوينز☠️ بيس eFootball 2027,"2, 1🔥, من, 4, 3, 2:تحدي",3752,696,142,Dexter49 Gaming,,2026-09-11T16:51:38.604814+00:00
youtube,LJqmP527kfQ,https://www.youtube.com/watch?v=LJqmP527kfQ,Chriki,,69332,278,6,Cheb Bilal - Topic,,2026-09-11T16:51:38.604814+00:00
