platform,video_id,url,title_caption,hashtags,views,likes,comments,channel_account,download_path,scraped_at,transcript,clean_transcript,language,transcript_word_count
youtube,Vkbh12yuwWY,https://www.youtube.com/watch?v=Vkbh12yuwWY,Gnawi - 3ALAL Feat. Salim Rbati  [Officiel Audio],,128222,7360,647,Gnawi,,2026-09-22T19:26:51.720637+00:00,,,unknown,0
youtube,fAXzLmsbrd8,https://www.youtube.com/watch?v=fAXzLmsbrd8,Escape From Playtime | Release Date Trailer,,2059574,88001,4963,Mob Entertainment,,2026-09-22T19:26:51.720637+00:00,,,unknown,0
youtube,dnuhoREFmY0,https://www.youtube.com/watch?v=dnuhoREFmY0,هروب اللسان بروبلوكس! 👅😱 أغرب لعبة,"روبلوكس, roblox, إل_حسامو, حسام_كويك, elhusamo, husamkwaik, gaming",392760,8636,1416,El Husamo X,,2026-09-22T19:26:51.720637+00:00,,,unknown,0
youtube,akVDNs7qpYg,https://www.youtube.com/watch?v=akVDNs7qpYg,El Houcine Amrrakchi - AYATMATNGH |2026| الحسين أمراكشي - أيايتماتنغ,"El_Houcine_Amrrakchi, الحسين_امراكشي, amarg_a9dim",32892,2052,407,El Houcine Amrrakchi,,2026-09-22T19:26:51.720637+00:00,,,unknown,0
youtube,4HJjUxiBq64,https://www.youtube.com/watch?v=4HJjUxiBq64,TOUMAAL GOR - Bande Annonce,"toumaalgor, pikiniproduction, seriesenegalaise, series, cinema, kebetu, love, drama, team221",469261,14061,250,Pikini Production,,2026-09-22T19:26:51.720637+00:00,,,unknown,0
