platform,video_id,url,title_caption,hashtags,views,likes,comments,channel_account,download_path,scraped_at
youtube,MuyJeerzXYE,https://www.youtube.com/watch?v=MuyJeerzXYE,histoire kdima,,94424,1250,22,Saintemin - Topic,,2026-09-17T15:51:12.917976+00:00
youtube,HIx5OO928YU,https://www.youtube.com/watch?v=HIx5OO928YU,achraf sabiri : mimic party,"fatmizzo, chaos333, lilpatty, rap, rapmusic., ilyasselmalki, moulchiv2, music, ouenza, stake, kawalise, mahamwda, clash, bilal, gjma, sabiri, ahmedsabiri, jntyyy, jamshow, lmorphine, kick, kickstreaming, maroc, algerie, live, livestream, gta, rp, bobonyfamily, streamer",32838,701,16,KICK CLIPS,,2026-09-17T15:51:12.917976+00:00
youtube,I6yDvA5vmqw,https://www.youtube.com/watch?v=I6yDvA5vmqw,Assala - Ragaet Assala Ala El Sham  | أصالة - رجعت أصالة على الشام,"Assala, أصالة",1023615,14705,902,Assala Nasri,,2026-09-17T15:51:12.917976+00:00
youtube,rxuXI1QLC8c,https://www.youtube.com/watch?v=rxuXI1QLC8c,ارك سوبريم #13 | تير نيران الجحيم! Ark Survival Ascended,13,274474,32624,1364,أحمد - Nemesis,,2026-09-17T15:51:12.917976+00:00
youtube,q-bVGJbf4DI,https://www.youtube.com/watch?v=q-bVGJbf4DI,El Houcine Amrrakchi - Driwch |2026| الحسين أمراكشي - الدريوش,"El_Houcine_Amrrakchi, الحسين_امراكشي, amarg_a9dim",55201,2042,295,El Houcine Amrrakchi,,2026-09-17T15:51:12.917976+00:00
youtube,0sYH2qgM8O4,https://www.youtube.com/watch?v=0sYH2qgM8O4,اخيرا ‏أول تجربة للعبة FC 27 الكاملة (هل تغيرت فعلا؟😨🔥),,175735,11349,655,سوري جيمر - Syrian Gamer,,2026-09-17T15:51:12.917976+00:00
youtube,cMBoJrscXxQ,https://www.youtube.com/watch?v=cMBoJrscXxQ,🔥 Cheb Sofiane 31 | Remix | Rai Algérien 2026 | DJ Younes HTM,"ChebSofiane31, Sofiane31, Rai, RaiAlgerien, Rai2026, DJYounesHTM, RaiDz, RaiMaghribi, MusiqueAlgerienne, AlgerianMusic, Music2026, Remix, RaiRemix, RaiMix, Algeria, Morocco",316412,0,36,Dj Younes HTM,,2026-09-17T15:51:12.917976+00:00
youtube,yZ90tZY7VS0,https://www.youtube.com/watch?v=yZ90tZY7VS0,اخيرااا عودت أخنز  تحديث في فري فاير😂🔥Naruto,"FreeFire, FreeFireMAX, فري_فاير, فريفاير, فري_فاير_كوميدي, فري_فاير_مضحك, مواقف_مضحكة, قيمينغ, Gaming, FunnyMoments, FreeFireFunny",105430,7293,336,YAMIN gaming ,,2026-09-17T15:51:12.917976+00:00
youtube,j8WolPR68t0,https://www.youtube.com/watch?v=j8WolPR68t0,ASSALA x Amjad Jomaa - Mashup | أصالة وأمجد جمعة - رجعت أصالة على الشام (Levantronic Remix),"أصالة, أمجد_جمعة, رجعت_أصالة_على_الشام, أصالة_نصري, حالات_واتس_اب, ASSALA, AmjadJomaa, LevantronicRemix, Levantronic, Shamstep, ArabicRemix, ريمكسات_2026, TikTokRemix",1568537,13342,349,Levantronic,,2026-09-17T15:51:12.917976+00:00
youtube,RmKrV9bgeEY,https://www.youtube.com/watch?v=RmKrV9bgeEY,الهروب من الزومبي.. اما النجاة او الهلاك💀| 2# DzombZ,"EpicPartner, ابوفله, AboFlah",416751,26770,2668,AboFlah Gaming,,2026-09-17T15:51:12.917976+00:00
youtube,6m_c7CM7l2M,https://www.youtube.com/watch?v=6m_c7CM7l2M,MANAL - FORAS  (Official Video),,844428,9659,1081,Manal l منال,,2026-09-17T15:51:12.917976+00:00
youtube,ZBBSt9Lu9LI,https://www.youtube.com/watch?v=ZBBSt9Lu9LI,رسمياً الجزء الثالث لحدث ناروتو !🔥,,236747,9642,498,حسونة - Hassone,,2026-09-17T15:51:12.917976+00:00
youtube,LY5fTWz8clA,https://www.youtube.com/watch?v=LY5fTWz8clA,"Pitbull - Give Me Everything (Lyrics) Ft. Ne-Yo, Afrojack, Nayer",,874477,2657,12,nightlife,,2026-09-17T15:51:12.917976+00:00
youtube,FgQFWrjKTEQ,https://www.youtube.com/watch?v=FgQFWrjKTEQ,اخيرا جربت قراند بنظارة بنظارة الواقع الافتراضي !!,"سيد, العاب, ألعاب, قراند, جراند",478973,16503,989,شبكة العاب العرب | Arab Games Network,,2026-09-17T15:51:12.917976+00:00
youtube,J5LN50guamw,https://www.youtube.com/watch?v=J5LN50guamw,Marouane Le M ft Shaw - ZAHRI (Official Lyric Video),"Marouane, Shaw, ZAHRI",139789,3546,138,Marouane le M,,2026-09-17T15:51:12.917976+00:00
youtube,CAEGElRzDBA,https://www.youtube.com/watch?v=CAEGElRzDBA,سوني دمرت الالعاب... والمنقذ هو اكس بوكس؟,,376782,19847,1091,Abdullah Reviews,,2026-09-17T15:51:12.917976+00:00
youtube,3UtpjPvprWo,https://www.youtube.com/watch?v=3UtpjPvprWo,Anas x Didine Canon 16 - Mensiya (Official Lyrics Video),,738143,10997,404,Anas Officiel,,2026-09-17T15:51:12.917976+00:00
youtube,REFhtYndIjY,https://www.youtube.com/watch?v=REFhtYndIjY,حملة هدايا جديدة واضافات جديدة من كونامي 🔥🤯 حزم واحداث يوم الخميس المميز !!😱|efootball 2026,,223845,11975,342,من بره التمنتاشر,,2026-09-17T15:51:12.917976+00:00
youtube,2fJIbDVXubU,https://www.youtube.com/watch?v=2fJIbDVXubU,Cheba Souad - Howa 3ach9i W Ga3 3alam ° عمري بوتي و فورمة Remix ,"DJJozeph1M, MusicProducer, RaiRemix2026, Remixbeat, RaiProduction",92099,271,1,DJ JOZEPH 1M ,,2026-09-17T15:51:12.917976+00:00
youtube,NKbp1NGDbkI,https://www.youtube.com/watch?v=NKbp1NGDbkI,تحدي القفز لسرقت بيض الحيونات😱اصعب مهمة في روبلوكس🔥-Jump for Animal Roblox,"روبلوكس, PANDA_BLOX, Roblox, روبلوكس_العرب, العاب_فيديو, تحديات_روبلوكس, مابات_روبلوكس, جيش_الباندا, قيمر, RobloxArabic",75576,814,39,PANDA BLOX,,2026-09-17T15:51:12.917976+00:00
youtube,dhwbWv9oZfc,https://www.youtube.com/watch?v=dhwbWv9oZfc,Anys - OBSÉDÉE (Lyrics),,36779,1179,95,Anys,,2026-09-17T15:51:12.917976+00:00
youtube,7xqMEhcT3rQ,https://www.youtube.com/watch?v=7xqMEhcT3rQ,Fuimos SECUESTRADOS por las Chicas VENOM en Minecraft!,"minecraft, minecraftmod, nacho, nachoydagar",1765554,17254,405,Nacho,,2026-09-17T15:51:12.917976+00:00
youtube,8axyrMyBlI0,https://www.youtube.com/watch?v=8axyrMyBlI0,DEMON x MORO  - BALI BINA (OFFICIAL MUSIC VIDEO),,174024,2658,328,DEMON 324,,2026-09-17T15:51:12.917976+00:00
youtube,S-djZ0GcjfQ,https://www.youtube.com/watch?v=S-djZ0GcjfQ,اذا بتجاوب غلط بتموت - Truth or tale,"gaming, peekaa, truthordarechallenge",151363,6945,984,Peekaa,,2026-09-17T15:51:12.917976+00:00
youtube,Q5NBlyjTQys,https://www.youtube.com/watch?v=Q5NBlyjTQys,Zina atlas mechaslikh iwhbib arghifi yalla مشاس ليخ اوحبيب ارغيفي يالا,,27017,299,0,ghazi live - Topic,,2026-09-17T15:51:12.917976+00:00
youtube,V_sXXEJJ-H4,https://www.youtube.com/watch?v=V_sXXEJJ-H4,جبت ليوتيوبر سكن ناروتو!,"freefire, rizvx, فري_فاير",145480,7822,526,RIZVX,,2026-09-17T15:51:12.917976+00:00
youtube,dYUqwMM6vsg,https://www.youtube.com/watch?v=dYUqwMM6vsg,EYR - Reality (Original Music Video),"EYRMusic, Reality, DeepHouse, ElectronicMusic, EmotionalDeepHouse, MelodicDeepHouse, NightDrive, CinematicMusic, AtmosphericMusic, DarkElectronic, ReflectiveMusic, MidnightDrive, LateNightMusic, DrivingMusic, MelancholicMusic, DeepVibes, ChillHouse, PhilosophicalMusic, NewMusic, DeepHouse2026",743878,1964,20,EYR Music,,2026-09-17T15:51:12.917976+00:00
youtube,sLaQTCOSuCA,https://www.youtube.com/watch?v=sLaQTCOSuCA,"برج موضة الاطفال مع بيكا ""مين فاز"" - roblox","gaming, abuhmaid, roblox",145731,5449,339,abu hmaid ROBLOX,,2026-09-17T15:51:12.917976+00:00
youtube,-EBeEbi3qZE,https://www.youtube.com/watch?v=-EBeEbi3qZE,Elysia Vale  -  Love Me Tonight (Original Mix),"deephouse, latenightvibes, deepmusic, electronicmusic, deepvibes",1109149,3270,35,Elysia Vale,,2026-09-17T15:51:12.917976+00:00
youtube,_viHRKWU50c,https://www.youtube.com/watch?v=_viHRKWU50c,تحديت اسلام مخاشيف على الحزام,,332107,17255,507,Ahmed Show,,2026-09-17T15:51:12.917976+00:00
